Player's List,Base Price,COST IN ₹ (CR.),Cost IN $ (000),2022 Squad,TYPE_BATSMAN,TYPE_BOWLER,TYPE_WICKETKEEPER,Team_Delhi Capitals,Team_Gujarat Titans,Team_Kolkata Knight Riders,Team_Lucknow Super Giants,Team_Mumbai Indians,Team_Punjab Super Kings,Team_Rajasthan Royals,Team_Royal Challengers Banglore,Team_Sunrisers Hyderabad,Team_Unsold
Anrich Nortje,0,0.0,0.0,DC,False,True,False,True,False,False,False,False,False,False,False,False,False
Aman Khan (T),0,0.0,0.0,DC,False,False,False,True,False,False,False,False,False,False,False,False,False
Chetan Sakariya,0,0.0,0.0,DC,False,True,False,True,False,False,False,False,False,False,False,False,False
David Warner,0,0.0,0.0,DC,True,False,False,True,False,False,False,False,False,False,False,False,False
Lungisani Ngidi,0,0.0,0.0,DC,False,True,False,True,False,False,False,False,False,False,False,False,False
Kuldeep Yadav,0,0.0,0.0,DC,False,True,False,True,False,False,False,False,False,False,False,False,False
Kamlesh Nagarkoti,0,0.0,0.0,DC,False,False,False,True,False,False,False,False,False,False,False,False,False
Mitchell Marsh,0,0.0,0.0,DC,False,False,False,True,False,False,False,False,False,False,False,False,False
Shakib Al Hasan,1500000,1.5,180.0,Not in 2022 Squad,False,False,False,False,False,True,False,False,False,False,False,False,False
David Wiese,10000000,1.0,120.0,Not in 2022 Squad,False,False,False,False,False,True,False,False,False,False,False,False,False
N. Jagadeesan,2000000,0.9,108.0,CSK,False,False,True,False,False,True,False,False,False,False,False,False,False
Vaibhav Arora,2000000,0.6,72.0,PBKS,False,True,False,False,False,True,False,False,False,False,False,False,False
Litton Das,5000000,0.5,60.0,Not in 2022 Squad,False,False,True,False,False,True,False,False,False,False,False,False,False
Mandeep Singh,5000000,0.5,60.0,DC,True,False,False,False,False,True,False,False,False,False,False,False,False
Kulwant Khejroliya,2000000,0.2,24.0,Not in 2022 Squad,False,True,False,False,False,True,False,False,False,False,False,False,False
Suyash Sharma,2000000,0.2,24.0,Not in 2022 Squad,False,True,False,False,False,True,False,False,False,False,False,False,False
Sunil Narine,0,0.0,0.0,KKR,False,True,False,False,False,True,False,False,False,False,False,False,False
Shreyas Iyer,0,0.0,0.0,KKR,True,False,False,False,False,True,False,False,False,False,False,False,False
Tim Southee,0,0.0,0.0,KKR,False,True,False,False,False,True,False,False,False,False,False,False,False
Umesh Yadav,0,0.0,0.0,KKR,False,True,False,False,False,True,False,False,False,False,False,False,False
Varun Chakaravarthy,0,0.0,0.0,KKR,False,True,False,False,False,True,False,False,False,False,False,False,False
Shardul Thakur (T),0,0.0,0.0,KKR,False,True,False,False,False,True,False,False,False,False,False,False,False
Venkatesh Iyer,0,0.0,0.0,KKR,False,False,False,False,False,True,False,False,False,False,False,False,False
Harshit Rana,0,0.0,0.0,KKR,False,True,False,False,False,True,False,False,False,False,False,False,False
Anukul Roy,0,0.0,0.0,KKR,False,False,False,False,False,True,False,False,False,False,False,False,False
Andre Russell,0,0.0,0.0,KKR,False,False,False,False,False,True,False,False,False,False,False,False,False
Lockie Ferguson (T),0,0.0,0.0,KKR,False,True,False,False,False,True,False,False,False,False,False,False,False
Nitish Rana,0,0.0,0.0,KKR,False,False,False,False,False,True,False,False,False,False,False,False,False
Rahmanullah Gurbaz (T),0,0.0,0.0,KKR,False,False,True,False,False,True,False,False,False,False,False,False,False
Rinku Singh,0,0.0,0.0,KKR,True,False,False,False,False,True,False,False,False,False,False,False,False
Sam Curran,20000000,18.5,2220.0,Not in 2022 Squad,False,False,False,False,False,False,False,False,True,False,False,False,False
Sikandar Raza,5000000,0.5,60.0,Not in 2022 Squad,False,False,False,False,False,False,False,False,True,False,False,False,False
Harpreet Bhatia,2000000,0.4,48.0,Not in 2022 Squad,True,False,False,False,False,False,False,False,True,False,False,False,False
Mohit Rathee,2000000,0.2,24.0,Not in 2022 Squad,False,False,False,False,False,False,False,False,True,False,False,False,False
Vidwath Kaverappa,2000000,0.2,24.0,Not in 2022 Squad,False,True,False,False,False,False,False,False,True,False,False,False,False
Shivam Singh,5000000,0.2,24.0,Not in 2022 Squad,False,False,True,False,False,False,False,False,True,False,False,False,False
Liam Livingstone,0,0.0,0.0,PBKS,False,False,False,False,False,False,False,False,True,False,False,False,False
Baltej Singh Dhanda,0,0.0,0.0,PBKS,False,True,False,False,False,False,False,False,True,False,False,False,False
Atharva Taide,0,0.0,0.0,PBKS,False,False,False,False,False,False,False,False,True,False,False,False,False
Bhanuka Rajapakse,0,0.0,0.0,PBKS,True,False,False,False,False,False,False,False,True,False,False,False,False
Jitesh Sharma,0,0.0,0.0,PBKS,False,False,True,False,False,False,False,False,True,False,False,False,False
Nathan Ellis,0,0.0,0.0,PBKS,False,True,False,False,False,False,False,False,True,False,False,False,False
Jonny Bairstow,0,0.0,0.0,PBKS,False,False,True,False,False,False,False,False,True,False,False,False,False
Kagiso Rabada,0,0.0,0.0,PBKS,False,True,False,False,False,False,False,False,True,False,False,False,False
Harpreet Brar,0,0.0,0.0,PBKS,False,False,False,False,False,False,False,False,True,False,False,False,False
Shahrukh Khan,0,0.0,0.0,PBKS,False,False,False,False,False,False,False,False,True,False,False,False,False
Shikhar Dhawan,0,0.0,0.0,PBKS,True,False,False,False,False,False,False,False,True,False,False,False,False
Rahul Chahar,0,0.0,0.0,PBKS,False,True,False,False,False,False,False,False,True,False,False,False,False
Arshdeep Singh,0,0.0,0.0,PBKS,False,True,False,False,False,False,False,False,True,False,False,False,False
Prabhsimran Singh,0,0.0,0.0,PBKS,False,False,True,False,False,False,False,False,True,False,False,False,False
Raj Angad Bawa,0,0.0,0.0,PBKS,False,False,False,False,False,False,False,False,True,False,False,False,False
Rishi Dhawan,0,0.0,0.0,PBKS,False,False,False,False,False,False,False,False,True,False,False,False,False
Nicholas Pooran,20000000,16.0,1920.0,SRH,False,False,True,False,False,False,True,False,False,False,False,False,False
Daniel Sams,7500000,0.75,90.0,MI,False,False,False,False,False,False,True,False,False,False,False,False,False
Jaydev Unadkat,5000000,0.5,60.0,MI,False,True,False,False,False,False,True,False,False,False,False,False,False
Naveen Ul Haq,5000000,0.5,60.0,Not in 2022 Squad,False,True,False,False,False,False,True,False,False,False,False,False,False
Amit Mishra,5000000,0.5,60.0,Not in 2022 Squad,False,True,False,False,False,False,True,False,False,False,False,False,False
Romario Shepherd,5000000,0.5,60.0,SRH,False,False,False,False,False,False,True,False,False,False,False,False,False
Yash Thakur,2000000,0.45,54.0,Not in 2022 Squad,False,True,False,False,False,False,True,False,False,False,False,False,False
Swapnil Singh,2000000,0.2,24.0,Not in 2022 Squad,False,False,False,False,False,False,True,False,False,False,False,False,False
Yudhvir Charak,2000000,0.2,24.0,Not in 2022 Squad,False,False,False,False,False,False,True,False,False,False,False,False,False
Prerak Mankad,2000000,0.2,24.0,PBKS,False,False,False,False,False,False,True,False,False,False,False,False,False
Mark Wood,0,0.0,0.0,LSG,False,True,False,False,False,False,True,False,False,False,False,False,False
Marcus Stoinis,0,0.0,0.0,LSG,False,False,False,False,False,False,True,False,False,False,False,False,False
Mayank Yadav,0,0.0,0.0,LSG,False,True,False,False,False,False,True,False,False,False,False,False,False
Mohsin Khan,0,0.0,0.0,LSG,False,True,False,False,False,False,True,False,False,False,False,False,False
Quinton De Kock,0,0.0,0.0,LSG,False,False,True,False,False,False,True,False,False,False,False,False,False
Manan Vohra,0,0.0,0.0,LSG,True,False,False,False,False,False,True,False,False,False,False,False,False
Ravi Bishnoi,0,0.0,0.0,LSG,False,True,False,False,False,False,True,False,False,False,False,False,False
Deepak Hooda,0,0.0,0.0,LSG,False,False,False,False,False,False,True,False,False,False,False,False,False
Ayush Badoni,0,0.0,0.0,LSG,False,False,False,False,False,False,True,False,False,False,False,False,False
Avesh Khan,0,0.0,0.0,LSG,False,True,False,False,False,False,True,False,False,False,False,False,False
K. Gowtham,0,0.0,0.0,LSG,False,False,False,False,False,False,True,False,False,False,False,False,False
Karan Sharma,0,0.0,0.0,LSG,False,False,False,False,False,False,True,False,False,False,False,False,False
Krunal Pandya,0,0.0,0.0,LSG,False,False,False,False,False,False,True,False,False,False,False,False,False
KL Rahul,0,0.0,0.0,LSG,True,False,False,False,False,False,True,False,False,False,False,False,False
Kyle Mayers,0,0.0,0.0,LSG,False,False,False,False,False,False,True,False,False,False,False,False,False
Cameron Green,20000000,17.5,2100.0,Not in 2022 Squad,False,False,False,False,False,False,False,True,False,False,False,False,False
Jhye Richardson,1500000,1.5,180.0,Not in 2022 Squad,False,True,False,False,False,False,False,True,False,False,False,False,False
Piyush Chawla,5000000,0.5,60.0,Not in 2022 Squad,False,True,False,False,False,False,False,True,False,False,False,False,False
Raghav Goyal,2000000,0.2,24.0,Not in 2022 Squad,False,True,False,False,False,False,False,True,False,False,False,False,False
Shams Mulani,2000000,0.2,24.0,Not in 2022 Squad,False,False,False,False,False,False,False,True,False,False,False,False,False
Nehal Wadhera,2000000,0.2,24.0,Not in 2022 Squad,False,False,False,False,False,False,False,True,False,False,False,False,False
Vishnu Vinod,2000000,0.2,24.0,SRH,False,False,True,False,False,False,False,True,False,False,False,False,False
Duan Jansen,2000000,0.2,24.0,Not in 2022 Squad,False,False,False,False,False,False,False,True,False,False,False,False,False
Ramandeep Singh,0,0.0,0.0,MI,False,False,False,False,False,False,False,True,False,False,False,False,False
N. Tilak Varma,0,0.0,0.0,MI,False,False,False,False,False,False,False,True,False,False,False,False,False
Mohd. Arshad Khan,0,0.0,0.0,MI,False,False,False,False,False,False,False,True,False,False,False,False,False
Rohit Sharma,0,0.0,0.0,MI,True,False,False,False,False,False,False,True,False,False,False,False,False
Suryakumar Yadav,0,0.0,0.0,MI,True,False,False,False,False,False,False,True,False,False,False,False,False
Kumar Kartikeya Singh,0,0.0,0.0,MI,False,False,False,False,False,False,False,True,False,False,False,False,False
Tristan Stubbs*,0,0.0,0.0,MI,False,False,True,False,False,False,False,True,False,False,False,False,False
Tim David,0,0.0,0.0,MI,False,False,False,False,False,False,False,True,False,False,False,False,False
Hrithik Shokeen,0,0.0,0.0,MI,False,False,False,False,False,False,False,True,False,False,False,False,False
Arjun Tendulkar,0,0.0,0.0,MI,False,False,False,False,False,False,False,True,False,False,False,False,False
Akash Madhwal,0,0.0,0.0,MI,False,True,False,False,False,False,False,True,False,False,False,False,False
