epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7196,0.63248,1.13881,0.5038,0.98047,0,0.92973,0.84211,0.91135,0.74644,0.92973,0.84211,0.89799,0.6924,0.73409,1.95548,0.58855,1.07381,0,0.000655556,0.000655556,0.000655556
2,63.3976,0.69573,1.20667,0.53653,1.00906,0,0.9524,0.86316,0.92606,0.75868,0.9524,0.86316,0.92749,0.70554,0.75683,2.09865,0.51787,1.05459,0,0.00106042,0.00106042,0.00106042
3,95.0237,0.72401,1.30666,0.56163,1.02666,0,0.88787,0.91688,0.93557,0.77289,0.87768,0.90635,0.9252,0.73229,0.73585,1.89083,0.50505,1.03514,0,0.00120129,0.00120129,0.00120129
4,129.166,0.70804,1.25675,0.53245,1.01802,0,0.90857,0.87368,0.92628,0.76695,0.93941,0.86316,0.92875,0.74248,0.71216,1.59321,0.57616,1.05738,0,0.000812,0.000812,0.000812
5,163.528,0.65084,1.17705,0.49745,0.99257,0,0.94576,0.9177,0.94257,0.79343,0.93491,0.90717,0.92933,0.7498,0.68752,1.92044,0.4185,1.07464,0,0.000416,0.000416,0.000416
