epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.234,1.96189,2.82619,1.76488,0.43785,0.41864,0.38492,0.1715,1.88005,2.03669,1.86076,0.000475236,0.000475236,0.000475236
2,364.691,1.86765,2.06768,1.71726,0.57926,0.44041,0.46127,0.19759,1.93376,1.82947,1.73456,0.000763158,0.000763158,0.000763158
3,538.131,1.81049,1.85742,1.65573,0.50607,0.49241,0.46934,0.22157,1.80251,1.67116,1.72202,0.000862453,0.000862453,0.000862453
4,709.171,1.73826,1.679,1.60861,0.63861,0.51172,0.55688,0.27139,1.7393,1.5068,1.64148,0.000580174,0.000580174,0.000580174
5,881.47,1.66384,1.53605,1.55758,0.71495,0.55564,0.6175,0.32334,1.63179,1.30775,1.56211,0.000297232,0.000297232,0.000297232
